cohort,p,n_trees,nmi_L_median,nmi_L_std,nmi_B_median,nmi_B_std,ari_L_median,ari_L_std,ari_B_median,ari_B_std,agreement_L_median,agreement_L_std,agreement_B_median,agreement_B_std,dot_L_median,dot_L_std,dot_B_median,dot_B_std,nmi_gt_L_median,nmi_gt_L_std,nmi_gt_B_median,nmi_gt_B_std,ari_gt_L_median,ari_gt_L_std,ari_gt_B_median,ari_gt_B_std,agreement_gt_L_median,agreement_gt_L_std,agreement_gt_B_median,agreement_gt_B_std,sign_L_median,sign_L_std
1000 taxa,0.0001,3,0.000270,0.000006,0.001858,0.000981,-0.001709,0.000016,0.004009,0.001443,99.300000,0.047140,69.700000,2.472965,0.001659,0.000258,0.007752,0.014907,0.000633,0.000285,0.000442,0.000210,-0.003988,0.001587,-0.002997,0.001125,99.100000,0.235702,99.300000,0.262467,26.000000,15.000519
1000 taxa,0.001,3,0.000566,0.000184,0.007451,0.003561,-0.001709,0.000058,0.010568,0.005489,92.500000,5.149326,69.900000,2.687006,0.004960,0.000902,0.074569,0.022050,0.001106,0.002054,0.000679,0.000229,-0.003988,0.004278,-0.004184,0.001428,92.400000,5.348520,98.600000,0.326599,48.400000,3.888444
1000 taxa,0.01,3,0.000179,0.000000,0.084486,0.102706,-0.001334,0.000000,0.015090,0.176188,99.700000,0.000000,58.300000,12.235831,0.002012,0.000665,0.368632,0.161031,0.000345,0.000105,0.002138,0.001620,-0.002399,0.000492,-0.002584,0.002151,99.500000,0.262467,63.600000,5.883499,12.100000,4.832069
1000 taxa,0.1,3,0.000127,0.000025,0.842607,0.178835,-0.001001,0.000157,0.912121,0.128578,99.800000,0.047140,97.800000,3.465384,0.005988,0.027922,0.984846,0.001669,0.000295,0.000069,0.003581,0.002229,-0.001768,0.000437,-0.003147,0.003645,99.500000,0.249444,67.700000,3.366832,48.400000,8.819045
1000 taxa,1,3,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,100.000000,0.000000,100.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000212,0.000049,0.003432,0.002312,-0.001499,0.000179,-0.003348,0.003533,99.600000,0.262467,69.300000,2.201515,100.000000,0.000000
