cohort,tree,p,nmi_L,nmi_B,ari_L,ari_B,agreement_L,agreement_B,dot_L,dot_B,nmi_gt_L,nmi_gt_B,ari_gt_L,ari_gt_B,agreement_gt_L,agreement_gt_B,sign_L
1000 taxa,random_tree_001,0.01,0.000127,0.076631,-0.001001,0.036828,99.800000,60.300000,0.000078,0.342554,0.000179,0.000102,-0.001334,0.000278,99.700000,59.300000,13.000000
1000 taxa,random_tree_001,0.1,0.000127,0.468039,-0.001001,0.607497,99.800000,89.200000,0.005002,0.969042,0.000179,0.002447,-0.001334,-0.002055,99.700000,67.200000,72.600000
1000 taxa,random_tree_001,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000179,0.002346,-0.001334,-0.002192,99.700000,68.800000,100.000000
1000 taxa,random_tree_002,0.01,0.000127,0.039564,-0.001001,-0.022403,99.800000,51.600000,0.001488,0.253019,0.000212,0.002522,-0.001499,0.003781,99.600000,69.100000,22.100000
1000 taxa,random_tree_002,0.1,0.000127,0.726782,-0.001001,0.832037,99.800000,95.700000,0.002255,0.970899,0.000212,0.003610,-0.001499,-0.003108,99.600000,67.400000,25.700000
1000 taxa,random_tree_002,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000212,0.003432,-0.001499,-0.003348,99.600000,69.300000,100.000000
