cohort,p,n_trees,nmi_L_median,nmi_L_std,nmi_L_q25,nmi_L_q75,nmi_L_lo95,nmi_L_hi95,nmi_L_n,nmi_B_median,nmi_B_std,nmi_B_q25,nmi_B_q75,nmi_B_lo95,nmi_B_hi95,nmi_B_n,ari_L_median,ari_L_std,ari_L_q25,ari_L_q75,ari_L_lo95,ari_L_hi95,ari_L_n,ari_B_median,ari_B_std,ari_B_q25,ari_B_q75,ari_B_lo95,ari_B_hi95,ari_B_n,agreement_L_median,agreement_L_std,agreement_L_q25,agreement_L_q75,agreement_L_lo95,agreement_L_hi95,agreement_L_n,agreement_B_median,agreement_B_std,agreement_B_q25,agreement_B_q75,agreement_B_lo95,agreement_B_hi95,agreement_B_n,dot_L_median,dot_L_std,dot_L_q25,dot_L_q75,dot_L_lo95,dot_L_hi95,dot_L_n,dot_B_median,dot_B_std,dot_B_q25,dot_B_q75,dot_B_lo95,dot_B_hi95,dot_B_n,nmi_gt_L_median,nmi_gt_L_std,nmi_gt_L_q25,nmi_gt_L_q75,nmi_gt_L_lo95,nmi_gt_L_hi95,nmi_gt_L_n,nmi_gt_B_median,nmi_gt_B_std,nmi_gt_B_q25,nmi_gt_B_q75,nmi_gt_B_lo95,nmi_gt_B_hi95,nmi_gt_B_n,ari_gt_L_median,ari_gt_L_std,ari_gt_L_q25,ari_gt_L_q75,ari_gt_L_lo95,ari_gt_L_hi95,ari_gt_L_n,ari_gt_B_median,ari_gt_B_std,ari_gt_B_q25,ari_gt_B_q75,ari_gt_B_lo95,ari_gt_B_hi95,ari_gt_B_n,agreement_gt_L_median,agreement_gt_L_std,agreement_gt_L_q25,agreement_gt_L_q75,agreement_gt_L_lo95,agreement_gt_L_hi95,agreement_gt_L_n,agreement_gt_B_median,agreement_gt_B_std,agreement_gt_B_q25,agreement_gt_B_q75,agreement_gt_B_lo95,agreement_gt_B_hi95,agreement_gt_B_n,sign_L_median,sign_L_std,sign_L_q25,sign_L_q75,sign_L_lo95,sign_L_hi95,sign_L_n
1000 taxa,0.01,2,0.000127,0.000000,0.000127,0.000127,0.000127,0.000127,2.000000,0.058098,0.018534,0.048831,0.067365,0.039564,0.076631,2.000000,-0.001001,0.000000,-0.001001,-0.001001,-0.001001,-0.001001,2.000000,0.007212,0.029616,-0.007595,0.022020,-0.022403,0.036828,2.000000,99.800000,0.000000,99.800000,99.800000,99.800000,99.800000,2.000000,55.950000,4.350000,53.775000,58.125000,51.600000,60.300000,2.000000,0.000783,0.000705,0.000430,0.001135,0.000078,0.001488,2.000000,0.297787,0.044767,0.275403,0.320170,0.253019,0.342554,2.000000,0.000196,0.000016,0.000188,0.000204,0.000179,0.000212,2.000000,0.001312,0.001210,0.000707,0.001917,0.000102,0.002522,2.000000,-0.001417,0.000083,-0.001458,-0.001375,-0.001499,-0.001334,2.000000,0.002029,0.001751,0.001154,0.002905,0.000278,0.003781,2.000000,99.650000,0.050000,99.625000,99.675000,99.600000,99.700000,2.000000,64.200000,4.900000,61.750000,66.650000,59.300000,69.100000,2.000000,17.550000,4.550000,15.275000,19.825000,13.000000,22.100000,2.000000
1000 taxa,0.1,2,0.000127,0.000000,0.000127,0.000127,0.000127,0.000127,2.000000,0.597411,0.129371,0.532725,0.662096,0.468039,0.726782,2.000000,-0.001001,0.000000,-0.001001,-0.001001,-0.001001,-0.001001,2.000000,0.719767,0.112270,0.663632,0.775902,0.607497,0.832037,2.000000,99.800000,0.000000,99.800000,99.800000,99.800000,99.800000,2.000000,92.450000,3.250000,90.825000,94.075000,89.200000,95.700000,2.000000,0.003628,0.001373,0.002942,0.004315,0.002255,0.005002,2.000000,0.969970,0.000929,0.969506,0.970435,0.969042,0.970899,2.000000,0.000196,0.000016,0.000188,0.000204,0.000179,0.000212,2.000000,0.003028,0.000582,0.002738,0.003319,0.002447,0.003610,2.000000,-0.001417,0.000083,-0.001458,-0.001375,-0.001499,-0.001334,2.000000,-0.002582,0.000527,-0.002845,-0.002318,-0.003108,-0.002055,2.000000,99.650000,0.050000,99.625000,99.675000,99.600000,99.700000,2.000000,67.300000,0.100000,67.250000,67.350000,67.200000,67.400000,2.000000,49.150000,23.450000,37.425000,60.875000,25.700000,72.600000,2.000000
1000 taxa,1,2,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,2.000000,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,2.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.000196,0.000016,0.000188,0.000204,0.000179,0.000212,2.000000,0.002889,0.000543,0.002617,0.003161,0.002346,0.003432,2.000000,-0.001417,0.000083,-0.001458,-0.001375,-0.001499,-0.001334,2.000000,-0.002770,0.000578,-0.003059,-0.002481,-0.003348,-0.002192,2.000000,99.650000,0.050000,99.625000,99.675000,99.600000,99.700000,2.000000,69.050000,0.250000,68.925000,69.175000,68.800000,69.300000,2.000000,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,2.000000
