cohort,p,n_trees,nmi_L_median,nmi_L_std,nmi_B_median,nmi_B_std,ari_L_median,ari_L_std,ari_B_median,ari_B_std,agreement_L_median,agreement_L_std,agreement_B_median,agreement_B_std,dot_L_median,dot_L_std,dot_B_median,dot_B_std,nmi_gt_L_median,nmi_gt_L_std,nmi_gt_B_median,nmi_gt_B_std,ari_gt_L_median,ari_gt_L_std,ari_gt_B_median,ari_gt_B_std,agreement_gt_L_median,agreement_gt_L_std,agreement_gt_B_median,agreement_gt_B_std,sign_L_median,sign_L_std
1000 taxa,0.0001,1,0.000270,0.000000,0.000493,0.000000,-0.001709,0.000000,0.001338,0.000000,99.300000,0.000000,69.000000,0.000000,0.000414,0.000000,0.003082,0.000000,0.000472,0.000000,0.000278,0.000000,-0.002991,0.000000,-0.002000,0.000000,99.200000,0.000000,99.600000,0.000000,25.900000,0.000000
1000 taxa,0.01,1,0.000127,0.000000,0.009696,0.000000,-0.001001,0.000000,-0.030579,0.000000,99.800000,0.000000,57.500000,0.000000,0.000078,0.000000,0.111181,0.000000,0.000179,0.000000,0.001681,0.000000,-0.001334,0.000000,0.004326,0.000000,99.700000,0.000000,79.700000,0.000000,13.000000,0.000000
1000 taxa,1,1,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,100.000000,0.000000,100.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000179,0.000000,0.002346,0.000000,-0.001334,0.000000,-0.002192,0.000000,99.700000,0.000000,68.800000,0.000000,100.000000,0.000000
