cohort,tree,p,nmi_L,nmi_B,ari_L,ari_B,agreement_L,agreement_B,dot_L,dot_B,nmi_gt_L,nmi_gt_B,ari_gt_L,ari_gt_B,agreement_gt_L,agreement_gt_B,sign_L
1000 taxa,random_tree_001,0.001,0.000509,0.000216,-0.001857,0.003030,94.500000,68.200000,0.002911,0.025698,0.000990,0.000781,-0.003650,-0.003628,94.400000,97.200000,46.600000
1000 taxa,random_tree_001,0.031623,0.000127,0.357559,-0.001001,0.473142,99.800000,84.600000,0.003785,0.864631,0.000179,0.002734,-0.001334,-0.001662,99.700000,63.000000,26.800000
1000 taxa,random_tree_001,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000179,0.002346,-0.001334,-0.002192,99.700000,68.800000,100.000000
1000 taxa,random_tree_002,0.001,0.000236,0.002903,-0.001598,0.005431,99.500000,69.700000,0.006131,0.022655,0.000518,0.000580,-0.003423,-0.003741,99.300000,99.200000,49.800000
1000 taxa,random_tree_002,0.031623,0.000127,0.464367,-0.001001,0.575835,99.800000,88.100000,0.002521,0.893436,0.000212,0.000025,-0.001499,-0.000251,99.600000,63.000000,32.800000
1000 taxa,random_tree_002,1,1.000000,1.000000,1.000000,1.000000,100.000000,100.000000,1.000000,1.000000,0.000212,0.003432,-0.001499,-0.003348,99.600000,69.300000,100.000000
