cohort,p,n_trees,nmi_L_median,nmi_L_std,nmi_B_median,nmi_B_std,ari_L_median,ari_L_std,ari_B_median,ari_B_std,agreement_L_median,agreement_L_std,agreement_B_median,agreement_B_std,dot_L_median,dot_L_std,dot_B_median,dot_B_std,nmi_gt_L_median,nmi_gt_L_std,nmi_gt_B_median,nmi_gt_B_std,ari_gt_L_median,ari_gt_L_std,ari_gt_B_median,ari_gt_B_std,agreement_gt_L_median,agreement_gt_L_std,agreement_gt_B_median,agreement_gt_B_std,sign_L_median,sign_L_std
1000 taxa,0.0001,2,0.000270,0.000000,0.002248,0.000390,-0.001709,0.000000,0.004502,0.000493,99.300000,0.000000,72.100000,2.400000,0.001395,0.000265,0.022571,0.016128,0.000897,0.000264,0.000664,0.000222,-0.005404,0.001416,-0.004152,0.001155,98.850000,0.250000,99.100000,0.300000,24.450000,18.350000
1000 taxa,0.001,2,0.000491,0.000221,0.007552,0.000102,-0.001698,0.000010,0.011583,0.001015,93.000000,6.300000,72.300000,2.400000,0.005884,0.000923,0.078429,0.003860,0.002921,0.002287,0.000920,0.000241,-0.008424,0.004436,-0.005502,0.001318,92.550000,6.550000,98.800000,0.200000,51.100000,4.500000
1000 taxa,0.01,2,0.000179,0.000000,0.166700,0.082214,-0.001334,0.000000,0.199262,0.184172,99.700000,0.000000,70.100000,11.800000,0.002197,0.000185,0.375185,0.006554,0.000436,0.000091,0.003065,0.000927,-0.002791,0.000393,-0.003891,0.001307,99.250000,0.250000,66.400000,2.800000,17.200000,5.100000
1000 taxa,0.1,2,0.000153,0.000026,0.921304,0.078696,-0.001167,0.000166,0.956061,0.043939,99.750000,0.050000,98.900000,1.100000,0.033528,0.030276,0.986615,0.001769,0.000320,0.000025,0.005642,0.002060,-0.002083,0.000315,-0.006672,0.003525,99.300000,0.200000,70.700000,3.000000,39.500000,8.900000
1000 taxa,1,2,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,100.000000,0.000000,100.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000254,0.000041,0.005567,0.002135,-0.001634,0.000135,-0.006773,0.003425,99.350000,0.250000,71.500000,2.200000,100.000000,0.000000
6000 taxa,0.01,2,0.000617,0.000578,0.262455,0.258957,0.000218,0.000517,0.315936,0.314439,83.816667,16.016667,71.000000,18.700000,0.036438,0.022489,0.507119,0.448963,0.000068,0.000044,0.001510,0.001502,-0.000430,0.000208,-0.000159,0.000182,99.491667,0.458333,53.650000,2.933333,36.158333,3.025000
6000 taxa,0.016681,2,0.000335,0.000264,0.301485,0.277078,-0.000089,0.000456,0.356741,0.330447,83.800000,16.016667,74.808333,16.641667,0.135676,0.099014,0.566794,0.410442,0.000047,0.000010,0.001254,0.001250,-0.000329,0.000004,-0.000193,0.000205,99.491667,0.441667,52.841667,1.841667,63.841667,3.041667
6000 taxa,0.027826,2,0.000348,0.000251,0.490323,0.154300,-0.000191,0.000558,0.587141,0.162196,83.791667,16.008333,87.941667,5.341667,0.026117,0.006089,0.837144,0.150463,0.000051,0.000006,0.003662,0.003057,-0.000362,0.000038,-0.000265,0.000183,99.483333,0.433333,51.891667,1.358333,64.200000,2.683333
6000 taxa,0.046416,2,0.000646,0.000549,0.710010,0.007738,-0.000007,0.000742,0.806643,0.006248,83.800000,16.000000,94.908333,0.175000,0.038499,0.020940,0.962701,0.030409,0.000079,0.000033,0.002586,0.002031,-0.000519,0.000119,-0.000287,0.000135,99.475000,0.441667,53.541667,2.858333,64.033333,3.216667
6000 taxa,0.077426,2,0.060610,0.060405,0.792925,0.011088,0.090462,0.090637,0.873258,0.007760,83.800000,16.050000,96.725000,0.208333,0.176764,0.131056,0.986887,0.009142,0.000047,0.000010,0.004939,0.004389,-0.000329,0.000004,-0.000380,0.000221,99.491667,0.441667,53.691667,3.058333,40.500000,1.283333
6000 taxa,0.129155,2,0.060610,0.060405,0.835491,0.029784,0.090462,0.090637,0.905126,0.021545,83.800000,16.050000,97.566667,0.566667,0.168280,0.137595,0.993497,0.004290,0.000047,0.000010,0.004513,0.003975,-0.000329,0.000004,-0.000283,0.000108,99.491667,0.441667,53.933333,3.616667,40.433333,1.100000
6000 taxa,0.215443,2,0.000240,0.000170,0.863344,0.022169,-0.000447,0.000098,0.924835,0.015370,83.775000,16.041667,98.083333,0.400000,0.024119,0.021503,0.996698,0.002143,0.000074,0.000037,0.004723,0.004711,-0.000486,0.000152,-0.000207,0.000240,99.483333,0.450000,54.066667,3.700000,41.016667,0.283333
6000 taxa,0.359381,2,0.000225,0.000186,0.897424,0.021550,-0.000324,0.000025,0.947082,0.013938,83.783333,16.050000,98.658333,0.358333,0.026312,0.022692,0.998528,0.000887,0.000068,0.000044,0.005265,0.005252,-0.000430,0.000208,-0.000205,0.000241,99.491667,0.458333,54.208333,3.891667,52.766667,12.750000
6000 taxa,0.599484,2,0.921443,0.078557,0.935525,0.011899,0.949767,0.050233,0.969896,0.006887,99.983333,0.016667,99.241667,0.175000,0.877746,0.014913,0.999449,0.000330,0.005397,0.005322,0.005482,0.004952,-0.004979,0.004416,-0.000377,0.000191,83.308333,16.475000,54.308333,3.791667,85.250000,14.733333
6000 taxa,1,2,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,100.000000,0.000000,100.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.005394,0.005324,0.005482,0.004953,-0.004970,0.004425,-0.000377,0.000190,83.325000,16.491667,54.316667,3.800000,100.000000,0.000000
