cohort,p,n_trees,nmi_L_median,nmi_L_std,nmi_B_median,nmi_B_std,ari_L_median,ari_L_std,ari_B_median,ari_B_std,agreement_L_median,agreement_L_std,agreement_B_median,agreement_B_std,dot_L_median,dot_L_std,dot_B_median,dot_B_std,nmi_gt_L_median,nmi_gt_L_std,nmi_gt_B_median,nmi_gt_B_std,ari_gt_L_median,ari_gt_L_std,ari_gt_B_median,ari_gt_B_std,agreement_gt_L_median,agreement_gt_L_std,agreement_gt_B_median,agreement_gt_B_std,sign_L_median,sign_L_std
1000 taxa,0.0001,3,0.000270,0.000006,0.001858,0.000981,-0.001709,0.000016,0.004009,0.001443,99.300000,0.047140,69.700000,2.472965,0.001659,0.000258,0.007752,0.014907,0.000633,0.000285,0.000442,0.000210,-0.003988,0.001587,-0.002997,0.001125,99.100000,0.235702,99.300000,0.262467,26.000000,15.000519
1000 taxa,0.000631,3,0.003456,0.005195,0.008587,0.005536,0.002060,0.006931,0.009828,0.005948,89.300000,11.437463,69.600000,2.452663,0.021399,0.012360,0.118173,0.029705,0.001893,0.001425,0.000518,0.000529,-0.005151,0.005897,-0.003423,0.002742,88.900000,11.211403,99.300000,0.543650,48.000000,1.049868
1000 taxa,0.003981,3,0.000236,0.000009,0.019864,0.017183,-0.001598,0.000031,0.061012,0.035530,99.500000,0.047140,71.300000,3.512201,0.000952,0.001184,0.078299,0.049186,0.000518,0.000275,0.002035,0.000929,-0.003423,0.001485,-0.005028,0.004314,99.300000,0.309121,88.100000,2.840579,84.900000,39.095297
1000 taxa,0.025119,3,0.000179,0.000000,0.541238,0.231331,-0.001334,0.000000,0.654797,0.204992,99.700000,0.000000,90.600000,6.135326,0.005108,0.002057,0.906814,0.022820,0.000345,0.000105,0.003960,0.002179,-0.002399,0.000492,-0.002627,0.003727,99.500000,0.262467,63.900000,4.896484,24.600000,3.645088
1000 taxa,0.158489,3,0.000179,0.000025,0.955181,0.208053,-0.001334,0.000157,0.979628,0.146989,99.700000,0.047140,99.500000,3.941517,0.031095,0.020608,0.991759,0.000955,0.000345,0.000142,0.003478,0.002309,-0.002399,0.000758,-0.003286,0.003539,99.500000,0.294392,69.000000,2.264214,35.300000,7.690831
1000 taxa,1,3,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,100.000000,0.000000,100.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000212,0.000049,0.003432,0.002312,-0.001499,0.000179,-0.003348,0.003533,99.600000,0.262467,69.300000,2.201515,100.000000,0.000000
