cohort,p,n_trees,nmi_L_median,nmi_L_std,nmi_B_median,nmi_B_std,ari_L_median,ari_L_std,ari_B_median,ari_B_std,agreement_L_median,agreement_L_std,agreement_B_median,agreement_B_std,dot_L_median,dot_L_std,dot_B_median,dot_B_std,nmi_gt_L_median,nmi_gt_L_std,nmi_gt_B_median,nmi_gt_B_std,ari_gt_L_median,ari_gt_L_std,ari_gt_B_median,ari_gt_B_std,agreement_gt_L_median,agreement_gt_L_std,agreement_gt_B_median,agreement_gt_B_std,sign_L_median,sign_L_std
1000 taxa,0.0001,2,0.000198,0.000072,0.004042,0.003549,-0.001355,0.000354,0.003248,0.001910,99.550000,0.250000,69.400000,0.400000,0.000328,0.000086,0.032054,0.028972,0.000342,0.000130,0.000312,0.000034,-0.002245,0.000746,-0.002199,0.000199,99.400000,0.200000,99.550000,0.050000,22.400000,3.500000
1000 taxa,0.002154,2,0.000275,0.000148,0.002007,0.001240,-0.001441,0.000440,-0.003341,0.012677,98.400000,1.400000,66.600000,0.800000,0.000632,0.000330,0.072953,0.018895,0.000511,0.000298,0.001305,0.000303,-0.002571,0.001072,-0.004491,0.000845,98.250000,1.350000,93.350000,0.850000,48.850000,32.150000
1000 taxa,0.046416,2,0.000127,0.000000,0.478588,0.053817,-0.001001,0.000000,0.597176,0.060096,99.800000,0.000000,88.750000,1.950000,0.001079,0.000662,0.929189,0.008066,0.000196,0.000016,0.000099,0.000096,-0.001417,0.000083,0.000213,0.000320,99.650000,0.050000,64.000000,1.400000,30.600000,0.200000
1000 taxa,1,2,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,100.000000,0.000000,100.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000196,0.000016,0.002889,0.000543,-0.001417,0.000083,-0.002770,0.000578,99.650000,0.050000,69.050000,0.250000,100.000000,0.000000
6000 taxa,0.0001,2,0.000122,0.000083,0.000035,0.000001,-0.000237,0.000062,0.000059,0.000100,83.791667,16.041667,54.700000,3.433333,0.005851,0.005765,0.015762,0.000680,0.000041,0.000017,0.000610,0.000529,-0.000273,0.000051,-0.003593,0.003006,99.500000,0.450000,99.133333,0.583333,49.091667,0.191667
6000 taxa,0.002154,2,0.000319,0.000280,0.003243,0.002383,0.000034,0.000334,0.006165,0.001766,83.808333,16.025000,56.083333,1.583333,0.028701,0.003198,0.042771,0.040801,0.000041,0.000017,0.000111,0.000082,-0.000273,0.000051,-0.000235,0.000375,99.500000,0.450000,73.266667,19.150000,63.700000,2.850000
6000 taxa,0.046416,2,0.000319,0.000280,0.564992,0.027413,0.000034,0.000334,0.670464,0.030055,83.808333,16.025000,90.933333,0.916667,0.018762,0.018473,0.923066,0.056648,0.000041,0.000017,0.002601,0.002011,-0.000273,0.000051,-0.000266,0.000163,99.500000,0.450000,52.433333,1.733333,63.808333,3.075000
6000 taxa,1,2,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,100.000000,0.000000,100.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.005394,0.005324,0.005482,0.004953,-0.004970,0.004425,-0.000377,0.000190,83.325000,16.491667,54.316667,3.800000,100.000000,0.000000
