tree,m,eta_L,valid_L,eta_B,valid_B
random_tree_0001,6000,2.1024,1,1.0541,0
random_tree_0002,6000,665.6667,1,1.3895,0
random_tree_0003,6000,427.5714,1,1.6978,0
random_tree_0004,6000,2999.0000,1,1.4742,0
random_tree_0005,6000,49.4202,1,1.5263,0
random_tree_0006,6000,2.9216,1,1.7561,0
random_tree_0007,6000,544.4545,1,1.2514,0
random_tree_0008,6000,239.0000,1,1.4651,0
random_tree_0009,6000,499.0000,1,2.0045,0
random_tree_0010,6000,114.3846,1,2.1332,0
random_tree_0011,6000,1199.0000,1,1.7599,0
random_tree_0012,6000,427.5714,1,1.0833,0
random_tree_0013,6000,221.2222,1,1.8050,0
random_tree_0014,6000,89.9091,0,1.0647,0
random_tree_0015,6000,175.4706,1,1.3914,0
random_tree_0016,6000,3.1040,1,1.7199,0
random_tree_0017,6000,399.0000,1,1.8916,0
random_tree_0018,6000,27.1690,1,1.0921,0
random_tree_0019,6000,205.8966,1,1.4184,0
random_tree_0020,6000,239.0000,1,1.5489,0
random_tree_0021,6000,126.6596,0,1.2489,0
random_tree_0022,6000,1.3438,1,1.1060,0
random_tree_0023,6000,749.0000,1,1.1345,0
random_tree_0024,6000,314.7895,1,1.1994,0
random_tree_0025,6000,856.1429,0,1.0284,0
random_tree_0026,6000,460.5385,1,1.2148,0
random_tree_0027,6000,499.0000,1,1.0819,0
random_tree_0028,6000,999.0000,1,2.0288,0
random_tree_0029,6000,1999.0000,1,1.8944,0
random_tree_0030,6000,221.2222,1,1.3265,0
random_tree_0031,6000,35.3636,1,1.2866,0
random_tree_0032,6000,999.0000,1,1.2701,0
random_tree_0033,6000,47.0000,1,1.1637,0
random_tree_0034,6000,221.2222,1,1.2770,0
random_tree_0035,6000,284.7143,1,1.1954,0
random_tree_0036,6000,1199.0000,1,1.8626,0
random_tree_0037,6000,999.0000,1,1.7485,0
random_tree_0038,6000,2999.0000,1,1.0899,0
random_tree_0039,6000,102.4483,1,1.3687,0
random_tree_0040,6000,135.3636,1,2.0242,0
random_tree_0041,6000,5.5574,0,1.1668,0
random_tree_0042,6000,1499.0000,1,1.2892,0
random_tree_0043,6000,74.9494,1,1.5952,0
random_tree_0044,6000,6.2115,1,2.0105,0
random_tree_0045,6000,999.0000,1,1.4096,0
random_tree_0046,6000,856.1429,1,1.4979,0
random_tree_0047,6000,599.0000,1,1.5084,0
random_tree_0048,6000,999.0000,1,1.5685,0
random_tree_0049,6000,544.4545,1,1.3157,0
random_tree_0050,6000,856.1429,1,1.3734,0
random_tree_0051,6000,116.6471,1,1.6513,0
random_tree_0052,6000,460.5385,1,2.0612,0
random_tree_0053,6000,1.0161,1,1.0182,0
random_tree_0054,6000,205.8966,1,1.1559,0
random_tree_0055,6000,749.0000,1,1.2719,0
random_tree_0056,6000,1999.0000,1,1.1330,0
random_tree_0057,6000,314.7895,1,1.0325,0
random_tree_0058,6000,79.0000,1,1.2396,0
random_tree_0059,6000,314.7895,1,1.4184,0
random_tree_0060,6000,239.0000,1,1.8275,0
random_tree_0061,6000,1.0812,1,1.0527,0
random_tree_0062,6000,45.5116,1,1.0725,0
random_tree_0063,6000,9.0334,1,1.0711,0
random_tree_0064,6000,213.2857,1,1.0935,0
random_tree_0065,6000,460.5385,1,1.5221,0
random_tree_0066,6000,138.5349,0,1.4410,0
random_tree_0067,6000,544.4545,1,1.5873,0
random_tree_0068,6000,8.4937,1,1.0087,0
random_tree_0069,6000,351.9412,1,2.1662,0
random_tree_0070,6000,1999.0000,1,1.3762,0
random_tree_0071,6000,83.5070,1,1.7586,0
random_tree_0072,6000,65.6667,1,1.2132,0
random_tree_0073,6000,284.7143,1,1.6098,0
random_tree_0074,6000,856.1429,1,2.0303,0
random_tree_0075,6000,156.8947,1,1.0797,0
random_tree_0076,6000,30.7460,0,1.3139,0
random_tree_0077,6000,999.0000,1,1.5784,0
random_tree_0078,6000,460.5385,1,1.0464,0
random_tree_0079,6000,1999.0000,1,1.4048,0
random_tree_0080,6000,132.3333,1,1.0311,0
random_tree_0081,6000,271.7273,1,1.2497,0
random_tree_0082,6000,27.1690,1,1.0450,0
random_tree_0083,6000,749.0000,1,1.0583,0
random_tree_0084,6000,192.5484,1,1.4560,0
random_tree_0085,6000,374.0000,1,1.4763,0
random_tree_0086,6000,180.8182,1,1.2371,0
random_tree_0087,6000,1999.0000,1,1.2962,0
random_tree_0088,6000,31.7869,0,1.4291,0
random_tree_0089,6000,199.0000,1,1.3006,0
random_tree_0090,6000,1499.0000,1,1.1246,0
random_tree_0091,6000,199.0000,1,1.1513,0
random_tree_0092,6000,599.0000,1,1.0513,0
random_tree_0093,6000,19.3390,1,1.6906,0
random_tree_0094,6000,37.9610,0,1.0318,0
random_tree_0095,6000,999.0000,1,1.0195,0
random_tree_0096,6000,999.0000,1,2.0030,0
random_tree_0097,6000,27.9855,1,1.0768,0
random_tree_0098,6000,1999.0000,1,1.0485,0
random_tree_0099,6000,11.1457,0,1.0520,0
random_tree_0100,6000,8.3168,1,1.8369,0
