cohort,p,n_trees,nmi_L_median,nmi_L_std,nmi_B_median,nmi_B_std,ari_L_median,ari_L_std,ari_B_median,ari_B_std,agreement_L_median,agreement_L_std,agreement_B_median,agreement_B_std,dot_L_median,dot_L_std,dot_B_median,dot_B_std,nmi_gt_L_median,nmi_gt_L_std,nmi_gt_B_median,nmi_gt_B_std,ari_gt_L_median,ari_gt_L_std,ari_gt_B_median,ari_gt_B_std,agreement_gt_L_median,agreement_gt_L_std,agreement_gt_B_median,agreement_gt_B_std,sign_L_median,sign_L_std
1000 taxa,0.0001,2,0.000198,0.000072,0.004042,0.003549,-0.001355,0.000354,0.003248,0.001910,99.550000,0.250000,69.400000,0.400000,0.000328,0.000086,0.032054,0.028972,0.000342,0.000130,0.000312,0.000034,-0.002245,0.000746,-0.002199,0.000199,99.400000,0.200000,99.550000,0.050000,22.400000,3.500000
1000 taxa,0.002154,2,0.000275,0.000148,0.002007,0.001240,-0.001441,0.000440,-0.003341,0.012677,98.400000,1.400000,66.600000,0.800000,0.000632,0.000330,0.072953,0.018895,0.000511,0.000298,0.001305,0.000303,-0.002571,0.001072,-0.004491,0.000845,98.250000,1.350000,93.350000,0.850000,48.850000,32.150000
1000 taxa,0.046416,2,0.000127,0.000000,0.478588,0.053817,-0.001001,0.000000,0.597176,0.060096,99.800000,0.000000,88.750000,1.950000,0.001079,0.000662,0.929189,0.008066,0.000196,0.000016,0.000099,0.000096,-0.001417,0.000083,0.000213,0.000320,99.650000,0.050000,64.000000,1.400000,30.600000,0.200000
1000 taxa,1,2,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,100.000000,0.000000,100.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000196,0.000016,0.002889,0.000543,-0.001417,0.000083,-0.002770,0.000578,99.650000,0.050000,69.050000,0.250000,100.000000,0.000000
